linux; GNU C++ version 5.3.1 20151219; Boost_105800; UHD_003.009.002-0-unknown

-- Detected Device: B210
-- Operating over USB 2.
-- Initialize CODEC control...
-- Initialize Radio control...
-- Performing register loopback test... pass
-- Performing register loopback test... pass
-- Performing CODEC loopback test... pass
-- Performing CODEC loopback test... pass
-- Asking for clock rate 16.000000 MHz... 
-- Actually got clock rate 16.000000 MHz.
-- Performing timer loopback test... pass
-- Performing timer loopback test... pass
-- Setting master clock rate selection to 'automatic'.
Using Volk machine: generic_orc
gain = 38.0
2018-09-03 22:56:22.077589 center_freq 915803375.0 freq 915607810.484 power_db -119.883394738
2018-09-03 22:56:22.077767 center_freq 915803375.0 freq 915614060.484 power_db -119.383891659
2018-09-03 22:56:22.077833 center_freq 915803375.0 freq 915620310.484 power_db -119.388412608
2018-09-03 22:56:22.077901 center_freq 915803375.0 freq 915626560.484 power_db -118.186816928
2018-09-03 22:56:22.077962 center_freq 915803375.0 freq 915632810.484 power_db -117.864976621
2018-09-03 22:56:22.078028 center_freq 915803375.0 freq 915639060.484 power_db -117.929977839
2018-09-03 22:56:22.078089 center_freq 915803375.0 freq 915645310.484 power_db -116.763470551
2018-09-03 22:56:22.078155 center_freq 915803375.0 freq 915651560.484 power_db -115.990722083
2018-09-03 22:56:22.078215 center_freq 915803375.0 freq 915657810.484 power_db -115.985124931
2018-09-03 22:56:22.078281 center_freq 915803375.0 freq 915664060.484 power_db -116.131634132
2018-09-03 22:56:22.078343 center_freq 915803375.0 freq 915670310.484 power_db -115.565222386
2018-09-03 22:56:22.078408 center_freq 915803375.0 freq 915676560.484 power_db -114.22091078
2018-09-03 22:56:22.078469 center_freq 915803375.0 freq 915682810.484 power_db -114.357626069
2018-09-03 22:56:22.078534 center_freq 915803375.0 freq 915689060.484 power_db -114.902309669
2018-09-03 22:56:22.078595 center_freq 915803375.0 freq 915695310.484 power_db -114.954753411
2018-09-03 22:56:22.078661 center_freq 915803375.0 freq 915701560.484 power_db -114.911156547
2018-09-03 22:56:22.078722 center_freq 915803375.0 freq 915707810.484 power_db -113.727654374
2018-09-03 22:56:22.078787 center_freq 915803375.0 freq 915714060.484 power_db -113.716900745
2018-09-03 22:56:22.078847 center_freq 915803375.0 freq 915720310.484 power_db -112.483792456
2018-09-03 22:56:22.078912 center_freq 915803375.0 freq 915726560.484 power_db -112.018320107
2018-09-03 22:56:22.078973 center_freq 915803375.0 freq 915732810.484 power_db -112.51871121
2018-09-03 22:56:22.079038 center_freq 915803375.0 freq 915739060.484 power_db -112.437615518
2018-09-03 22:56:22.079100 center_freq 915803375.0 freq 915745310.484 power_db -112.803400739
2018-09-03 22:56:22.079164 center_freq 915803375.0 freq 915751560.484 power_db -111.87923372
2018-09-03 22:56:22.079225 center_freq 915803375.0 freq 915757810.484 power_db -110.953248345
2018-09-03 22:56:22.079290 center_freq 915803375.0 freq 915764060.484 power_db -110.211421692
2018-09-03 22:56:22.079351 center_freq 915803375.0 freq 915770310.484 power_db -109.205429524
2018-09-03 22:56:22.079415 center_freq 915803375.0 freq 915776560.484 power_db -109.248056642
2018-09-03 22:56:22.079476 center_freq 915803375.0 freq 915782810.484 power_db -109.275142868
2018-09-03 22:56:22.079540 center_freq 915803375.0 freq 915789060.484 power_db -106.562759535
2018-09-03 22:56:22.079601 center_freq 915803375.0 freq 915795310.484 power_db -102.660526925
2018-09-03 22:56:22.079667 center_freq 915803375.0 freq 915801560.484 power_db -100.491746424
2018-09-03 22:56:22.079727 center_freq 915803375.0 freq 915807810.484 power_db -103.321878724
2018-09-03 22:56:22.079792 center_freq 915803375.0 freq 915814060.484 power_db -106.783283175
2018-09-03 22:56:22.079852 center_freq 915803375.0 freq 915820310.484 power_db -108.875158169
2018-09-03 22:56:22.079947 center_freq 915803375.0 freq 915826560.484 power_db -109.99325173
2018-09-03 22:56:22.080015 center_freq 915803375.0 freq 915832810.484 power_db -110.433903082
2018-09-03 22:56:22.080076 center_freq 915803375.0 freq 915839060.484 power_db -110.401153234
2018-09-03 22:56:22.080144 center_freq 915803375.0 freq 915845310.484 power_db -109.648594485
2018-09-03 22:56:22.080207 center_freq 915803375.0 freq 915851560.484 power_db -110.703870414
2018-09-03 22:56:22.080274 center_freq 915803375.0 freq 915857810.484 power_db -111.557130069
2018-09-03 22:56:22.080335 center_freq 915803375.0 freq 915864060.484 power_db -111.04363634
2018-09-03 22:56:22.080400 center_freq 915803375.0 freq 915870310.484 power_db -112.469329177
2018-09-03 22:56:22.080461 center_freq 915803375.0 freq 915876560.484 power_db -112.742633079
2018-09-03 22:56:22.080657 center_freq 915803375.0 freq 915882810.484 power_db -111.457772477
2018-09-03 22:56:22.080724 center_freq 915803375.0 freq 915889060.484 power_db -110.686596729
2018-09-03 22:56:22.080790 center_freq 915803375.0 freq 915895310.484 power_db -112.977416055
2018-09-03 22:56:22.080851 center_freq 915803375.0 freq 915901560.484 power_db -113.017128822
2018-09-03 22:56:22.080916 center_freq 915803375.0 freq 915907810.484 power_db -113.701347635
2018-09-03 22:56:22.080978 center_freq 915803375.0 freq 915914060.484 power_db -114.09101876
2018-09-03 22:56:22.081043 center_freq 915803375.0 freq 915920310.484 power_db -114.083342229
2018-09-03 22:56:22.081104 center_freq 915803375.0 freq 915926560.484 power_db -114.202236566
2018-09-03 22:56:22.081169 center_freq 915803375.0 freq 915932810.484 power_db -115.739222495
2018-09-03 22:56:22.081229 center_freq 915803375.0 freq 915939060.484 power_db -116.097465939
2018-09-03 22:56:22.081294 center_freq 915803375.0 freq 915945310.484 power_db -116.43994164
2018-09-03 22:56:22.081355 center_freq 915803375.0 freq 915951560.484 power_db -116.007203698
2018-09-03 22:56:22.081419 center_freq 915803375.0 freq 915957810.484 power_db -117.481361567
2018-09-03 22:56:22.081479 center_freq 915803375.0 freq 915964060.484 power_db -117.113491856
2018-09-03 22:56:22.081544 center_freq 915803375.0 freq 915970310.484 power_db -118.365393946
2018-09-03 22:56:22.081604 center_freq 915803375.0 freq 915976560.484 power_db -118.870205602
2018-09-03 22:56:22.081668 center_freq 915803375.0 freq 915982810.484 power_db -119.273402171
2018-09-03 22:56:22.081729 center_freq 915803375.0 freq 915989060.484 power_db -119.30344442
2018-09-03 22:56:22.576449 center_freq 915803375.0 freq 915607810.484 power_db -119.661377967
2018-09-03 22:56:22.576607 center_freq 915803375.0 freq 915614060.484 power_db -118.781453046
2018-09-03 22:56:22.576677 center_freq 915803375.0 freq 915620310.484 power_db -118.284818405
2018-09-03 22:56:22.576741 center_freq 915803375.0 freq 915626560.484 power_db -116.973792024
2018-09-03 22:56:22.576807 center_freq 915803375.0 freq 915632810.484 power_db -116.788829299
2018-09-03 22:56:22.576868 center_freq 915803375.0 freq 915639060.484 power_db -117.230343619
2018-09-03 22:56:22.576934 center_freq 915803375.0 freq 915645310.484 power_db -116.774817007
2018-09-03 22:56:22.576995 center_freq 915803375.0 freq 915651560.484 power_db -116.790812689
2018-09-03 22:56:22.577060 center_freq 915803375.0 freq 915657810.484 power_db -117.731353317
2018-09-03 22:56:22.577121 center_freq 915803375.0 freq 915664060.484 power_db -116.133909972
2018-09-03 22:56:22.577187 center_freq 915803375.0 freq 915670310.484 power_db -115.940481558
2018-09-03 22:56:22.577248 center_freq 915803375.0 freq 915676560.484 power_db -115.073603894
2018-09-03 22:56:22.577313 center_freq 915803375.0 freq 915682810.484 power_db -115.287302069
2018-09-03 22:56:22.577374 center_freq 915803375.0 freq 915689060.484 power_db -114.175642312
2018-09-03 22:56:22.577438 center_freq 915803375.0 freq 915695310.484 power_db -114.146766487
2018-09-03 22:56:22.577500 center_freq 915803375.0 freq 915701560.484 power_db -114.13442219
2018-09-03 22:56:22.577565 center_freq 915803375.0 freq 915707810.484 power_db -113.12152182
2018-09-03 22:56:22.577626 center_freq 915803375.0 freq 915714060.484 power_db -113.507909916
2018-09-03 22:56:22.577691 center_freq 915803375.0 freq 915720310.484 power_db -112.533732055
2018-09-03 22:56:22.577752 center_freq 915803375.0 freq 915726560.484 power_db -112.821079029
2018-09-03 22:56:22.577817 center_freq 915803375.0 freq 915732810.484 power_db -111.316506877
2018-09-03 22:56:22.577877 center_freq 915803375.0 freq 915739060.484 power_db -111.086081198
