linux; GNU C++ version 5.3.1 20151219; Boost_105800; UHD_003.009.002-0-unknown

-- Detected Device: B210
-- Operating over USB 2.
-- Initialize CODEC control...
-- Initialize Radio control...
-- Performing register loopback test... pass
-- Performing register loopback test... pass
-- Performing CODEC loopback test... pass
-- Performing CODEC loopback test... pass
-- Asking for clock rate 16.000000 MHz... 
-- Actually got clock rate 16.000000 MHz.
-- Performing timer loopback test... pass
-- Performing timer loopback test... pass
-- Setting master clock rate selection to 'automatic'.
Using Volk machine: generic_orc
gain = 38.0
2018-09-03 22:57:34.868569 center_freq 915803375.0 freq 915607810.484 power_db -118.997512817
2018-09-03 22:57:34.868752 center_freq 915803375.0 freq 915614060.484 power_db -118.482972312
2018-09-03 22:57:34.868817 center_freq 915803375.0 freq 915620310.484 power_db -118.746491927
2018-09-03 22:57:34.868885 center_freq 915803375.0 freq 915626560.484 power_db -119.024697585
2018-09-03 22:57:34.868946 center_freq 915803375.0 freq 915632810.484 power_db -119.183600394
2018-09-03 22:57:34.869011 center_freq 915803375.0 freq 915639060.484 power_db -116.796545491
2018-09-03 22:57:34.869072 center_freq 915803375.0 freq 915645310.484 power_db -116.474368617
2018-09-03 22:57:34.869138 center_freq 915803375.0 freq 915651560.484 power_db -116.883517949
2018-09-03 22:57:34.869198 center_freq 915803375.0 freq 915657810.484 power_db -116.407144152
2018-09-03 22:57:34.869264 center_freq 915803375.0 freq 915664060.484 power_db -115.759657013
2018-09-03 22:57:34.869325 center_freq 915803375.0 freq 915670310.484 power_db -115.089216744
2018-09-03 22:57:34.869390 center_freq 915803375.0 freq 915676560.484 power_db -114.408098149
2018-09-03 22:57:34.869450 center_freq 915803375.0 freq 915682810.484 power_db -114.919666004
2018-09-03 22:57:34.869515 center_freq 915803375.0 freq 915689060.484 power_db -113.85834982
2018-09-03 22:57:34.869575 center_freq 915803375.0 freq 915695310.484 power_db -113.921447507
2018-09-03 22:57:34.869641 center_freq 915803375.0 freq 915701560.484 power_db -113.635389069
2018-09-03 22:57:34.869701 center_freq 915803375.0 freq 915707810.484 power_db -113.667163571
2018-09-03 22:57:34.869766 center_freq 915803375.0 freq 915714060.484 power_db -113.056398587
2018-09-03 22:57:34.869826 center_freq 915803375.0 freq 915720310.484 power_db -112.039160902
2018-09-03 22:57:34.869892 center_freq 915803375.0 freq 915726560.484 power_db -112.445979042
2018-09-03 22:57:34.869953 center_freq 915803375.0 freq 915732810.484 power_db -112.042386743
2018-09-03 22:57:34.870017 center_freq 915803375.0 freq 915739060.484 power_db -111.828506096
2018-09-03 22:57:34.870078 center_freq 915803375.0 freq 915745310.484 power_db -111.887939041
2018-09-03 22:57:34.870143 center_freq 915803375.0 freq 915751560.484 power_db -111.239633268
2018-09-03 22:57:34.870203 center_freq 915803375.0 freq 915757810.484 power_db -111.153120415
2018-09-03 22:57:34.870269 center_freq 915803375.0 freq 915764060.484 power_db -111.204963258
2018-09-03 22:57:34.870330 center_freq 915803375.0 freq 915770310.484 power_db -109.879634036
2018-09-03 22:57:34.870395 center_freq 915803375.0 freq 915776560.484 power_db -110.27371158
2018-09-03 22:57:34.870455 center_freq 915803375.0 freq 915782810.484 power_db -109.195256484
2018-09-03 22:57:34.870521 center_freq 915803375.0 freq 915789060.484 power_db -106.46693082
2018-09-03 22:57:34.870581 center_freq 915803375.0 freq 915795310.484 power_db -102.42113856
2018-09-03 22:57:34.870646 center_freq 915803375.0 freq 915801560.484 power_db -100.37714306
2018-09-03 22:57:34.870706 center_freq 915803375.0 freq 915807810.484 power_db -101.599805199
2018-09-03 22:57:34.870802 center_freq 915803375.0 freq 915814060.484 power_db -106.471731479
2018-09-03 22:57:34.870869 center_freq 915803375.0 freq 915820310.484 power_db -108.542887398
2018-09-03 22:57:34.870929 center_freq 915803375.0 freq 915826560.484 power_db -108.271529595
2018-09-03 22:57:34.870993 center_freq 915803375.0 freq 915832810.484 power_db -108.125077069
2018-09-03 22:57:34.871053 center_freq 915803375.0 freq 915839060.484 power_db -109.949102057
2018-09-03 22:57:34.871118 center_freq 915803375.0 freq 915845310.484 power_db -110.377827584
2018-09-03 22:57:34.871178 center_freq 915803375.0 freq 915851560.484 power_db -110.961917108
2018-09-03 22:57:34.871243 center_freq 915803375.0 freq 915857810.484 power_db -111.582645494
2018-09-03 22:57:34.871303 center_freq 915803375.0 freq 915864060.484 power_db -111.955724464
2018-09-03 22:57:34.871367 center_freq 915803375.0 freq 915870310.484 power_db -112.252544708
2018-09-03 22:57:34.871536 center_freq 915803375.0 freq 915876560.484 power_db -112.724709131
2018-09-03 22:57:34.871703 center_freq 915803375.0 freq 915882810.484 power_db -113.058379475
2018-09-03 22:57:34.871775 center_freq 915803375.0 freq 915889060.484 power_db -113.774582616
2018-09-03 22:57:34.871836 center_freq 915803375.0 freq 915895310.484 power_db -113.339949361
2018-09-03 22:57:34.871905 center_freq 915803375.0 freq 915901560.484 power_db -114.569112208
2018-09-03 22:57:34.871965 center_freq 915803375.0 freq 915907810.484 power_db -114.543266802
2018-09-03 22:57:34.872033 center_freq 915803375.0 freq 915914060.484 power_db -114.647152816
2018-09-03 22:57:34.872093 center_freq 915803375.0 freq 915920310.484 power_db -116.233902127
2018-09-03 22:57:34.872254 center_freq 915803375.0 freq 915926560.484 power_db -116.194688712
2018-09-03 22:57:34.872318 center_freq 915803375.0 freq 915932810.484 power_db -116.301913007
2018-09-03 22:57:34.872385 center_freq 915803375.0 freq 915939060.484 power_db -115.937673724
2018-09-03 22:57:34.872451 center_freq 915803375.0 freq 915945310.484 power_db -116.178642401
2018-09-03 22:57:34.872525 center_freq 915803375.0 freq 915951560.484 power_db -117.031634542
2018-09-03 22:57:34.872587 center_freq 915803375.0 freq 915957810.484 power_db -116.687947752
2018-09-03 22:57:34.872660 center_freq 915803375.0 freq 915964060.484 power_db -117.792713067
2018-09-03 22:57:34.872721 center_freq 915803375.0 freq 915970310.484 power_db -118.219517477
2018-09-03 22:57:34.872791 center_freq 915803375.0 freq 915976560.484 power_db -117.795946573
2018-09-03 22:57:34.872851 center_freq 915803375.0 freq 915982810.484 power_db -119.113108533
2018-09-03 22:57:34.872920 center_freq 915803375.0 freq 915989060.484 power_db -118.692780289
2018-09-03 22:57:35.367409 center_freq 915803375.0 freq 915607810.484 power_db -120.366395272
2018-09-03 22:57:35.367571 center_freq 915803375.0 freq 915614060.484 power_db -120.182873714
2018-09-03 22:57:35.367641 center_freq 915803375.0 freq 915620310.484 power_db -120.173979368
2018-09-03 22:57:35.367702 center_freq 915803375.0 freq 915626560.484 power_db -118.028093662
2018-09-03 22:57:35.367769 center_freq 915803375.0 freq 915632810.484 power_db -116.77134373
2018-09-03 22:57:35.367829 center_freq 915803375.0 freq 915639060.484 power_db -118.029186387
2018-09-03 22:57:35.367902 center_freq 915803375.0 freq 915645310.484 power_db -117.009298781
2018-09-03 22:57:35.367963 center_freq 915803375.0 freq 915651560.484 power_db -116.940277185
2018-09-03 22:57:35.368032 center_freq 915803375.0 freq 915657810.484 power_db -115.945780715
2018-09-03 22:57:35.368093 center_freq 915803375.0 freq 915664060.484 power_db -115.545999891
2018-09-03 22:57:35.368162 center_freq 915803375.0 freq 915670310.484 power_db -114.265416536
2018-09-03 22:57:35.368222 center_freq 915803375.0 freq 915676560.484 power_db -114.469349242
2018-09-03 22:57:35.368293 center_freq 915803375.0 freq 915682810.484 power_db -114.616475944
2018-09-03 22:57:35.368354 center_freq 915803375.0 freq 915689060.484 power_db -114.624691345
2018-09-03 22:57:35.368424 center_freq 915803375.0 freq 915695310.484 power_db -113.643009356
2018-09-03 22:57:35.368485 center_freq 915803375.0 freq 915701560.484 power_db -114.034646156
2018-09-03 22:57:35.368558 center_freq 915803375.0 freq 915707810.484 power_db -112.337464129
2018-09-03 22:57:35.368619 center_freq 915803375.0 freq 915714060.484 power_db -113.176467122
2018-09-03 22:57:35.368686 center_freq 915803375.0 freq 915720310.484 power_db -112.779598043
2018-09-03 22:57:35.368746 center_freq 915803375.0 freq 915726560.484 power_db -112.891706702
2018-09-03 22:57:35.368811 center_freq 915803375.0 freq 915732810.484 power_db -111.998647252
2018-09-03 22:57:35.368871 center_freq 915803375.0 freq 915739060.484 power_db -112.114182469
